intent_id,intent_name,system_instruction,tool_name,required_args,optional_args,default_args,expects_product_A,expects_platforms,expects_brand,expects_category,output_type,primary_grouping,primary_metric,chart_type,priority
resolve_product,"Phân loại sản phẩm","Dùng intent này khi người dùng chỉ hỏi về thông tin phân loại sản phẩm (category, brand) hoặc cần xác định category để chuẩn bị cho truy vấn tiếp theo.","resolve_product","['A']","['catalog_categories','brand_list','hint']","{}",true,false,false,false,classification,none,none,none,high
search_products,"Liệt kê sản phẩm","Dùng intent này khi người dùng muốn xem danh sách sản phẩm/SKU phù hợp với một truy vấn sản phẩm, có thể có yêu cầu lọc theo sàn TMĐT hoặc số lượng đánh giá tối thiểu.","search_products_hybrid","['A']","['platforms','min_reviews','max_rows','enforce_phrase','use_brand_lock']","{'min_reviews': 0, 'max_rows': 50, 'enforce_phrase': True, 'use_brand_lock': True}",true,true,false,false,list,none,sku,table,high
price_summary,"Tóm tắt / so sánh giá","Dùng intent này khi người dùng hỏi về mức giá, khoảng giá hoặc so sánh giá (min/median/mean/max) của một nhóm sản phẩm, có thể so sánh giữa các sàn.","describe_price","['A']","['platforms','min_reviews','by_platform','use_brand_lock']","{'min_reviews': 0, 'by_platform': False, 'use_brand_lock': True}",true,true,false,false,aggregation,platform,price,"box|bar",high
rating_distribution,"Phân bố rating","Dùng intent này khi người dùng muốn xem phân bố điểm đánh giá (rating) của sản phẩm để hiểu chất lượng/mức độ hài lòng, có thể theo từng brand hoặc tổng thể.","rating_distribution","['A']","['platforms','bins','group_by_brand','min_reviews','use_brand_lock']","{'bins': 20, 'group_by_brand': False, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,histogram,"brand|overall",rating,histogram,medium
sold_distribution,"Phân bố sold / volume bán","Dùng intent này khi người dùng muốn xem phân bố lượng bán (sold) của sản phẩm, các phân khúc volume bán và thường muốn so sánh giữa các sàn.","sold_distribution","['A']","['platforms','bins','min_reviews','use_brand_lock']","{'bins': [0,10,50,100,500,1000,5000,10000], 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,histogram,platform,sold,histogram,medium
category_split,"Phân bổ theo danh mục con","Dùng intent này khi người dùng muốn xem sản phẩm đang phân bổ vào các danh mục/danh mục con nào và số lượng sản phẩm ở mỗi nhóm.","category_count_plot","['A']","['platforms','sublevel_field','top_k','min_reviews','use_brand_lock']","{'sublevel_field': 'categories', 'top_k': null, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,true,aggregation,category,product_count,bar,medium
brand_share,"Thị phần brand","Dùng intent này khi người dùng muốn xem thị phần các thương hiệu (brand share) cho một nhóm sản phẩm","brand_share","['A']","['platforms','metric','normalize','min_reviews','use_brand_lock']","{'metric': 'sku', 'normalize': True, 'min_reviews': 0, 'use_brand_lock': False}",true,true,false,false,aggregation,"platform+brand","sku|revenue_est",stacked-bar,high
top_sellers,"Top seller","Dùng intent này khi người dùng muốn xem top nhà bán hàng (seller) cho một nhóm sản phẩm, xếp hạng theo số lượng sản phẩm hoặc tổng sold.","top_sellers","['A']","['platforms','by','top_k','min_reviews','use_brand_lock']","{'by': 'product_count', 'top_k': 20, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,ranking,"platform+seller","product_count|sold",bar,high
top_brands,"Top brand","Dùng intent này khi người dùng muốn xem top thương hiệu (brand) cho một nhóm sản phẩm, xếp hạng theo doanh thu ước tính hoặc tổng sold.","top_brands","['A']","['platforms','by','top_k','min_reviews','use_brand_lock']","{'by': 'revenue_est', 'top_k': 20, 'min_reviews': 0, 'use_brand_lock': False}",true,true,false,false,ranking,"platform+brand","revenue_est|sold",bar,high
seller_diversity,"Đa dạng danh mục của seller","Dùng intent này khi người dùng muốn đánh giá mức độ đa dạng danh mục sản phẩm mà mỗi seller đang bán (bán nhiều ngành hàng hay tập trung vào vài ngành).","seller_diversity_index","['A']","['platforms','min_products','min_reviews','use_brand_lock']","{'min_products': 5, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,true,aggregation,"platform+seller",diversity_index,table,medium
price_range_by_category,"Khoảng giá theo category","Dùng intent này khi người dùng muốn xem khoảng giá (min/median/quantile/max) theo từng danh mục (category) và sàn, có thể giới hạn cho một brand cụ thể.","price_range_by_category","['A']","['platforms','brand','quantiles','min_reviews','use_brand_lock']","{'brand': null, 'quantiles': [0.1,0.9], 'min_reviews': 0, 'use_brand_lock': True}",true,true,true,true,aggregation,"platform+category",price,"box|bar",medium
roi_table,"So sánh ROI","Dùng intent này khi người dùng muốn so sánh ROI (sold/price) giữa các nhóm như sàn (platform), seller hoặc brand cho một nhóm sản phẩm.","roi_table_for_A","['A']","['platforms','group_by','min_reviews','use_brand_lock']","{'group_by': 'platform', 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,aggregation,"platform|seller|brand",roi,table,medium
review_summary,"Tóm tắt đánh giá","Dùng intent này khi người dùng muốn biết tổng số đánh giá, điểm trung bình rating của sản phẩm, có thể phân theo sàn.","rating_distribution","['A']","['platforms','min_reviews','summary_only','use_brand_lock']","{'min_reviews': 0, 'summary_only': True, 'use_brand_lock': True}",true,true,false,false,aggregation,platform,rating,stat-table,medium
product_availability,"Tình trạng sản phẩm","Dùng intent này khi người dùng muốn biết sản phẩm có sẵn trên những sàn nào, số lượng listing trên mỗi sàn","search_products_hybrid","['A']","['platforms','availability_only','use_brand_lock']","{'availability_only': True, 'use_brand_lock': True}",true,true,false,false,aggregation,platform,availability,table,medium
price_trend_analysis,"Phân tích xu hướng giá","Dùng intent này khi người dùng hỏi về biến động giá theo thời gian (nếu có dữ liệu lịch sử), xu hướng tăng/giảm giá.","describe_price","['A']","['platforms','time_window','trend_analysis','use_brand_lock']","{'time_window': '30d', 'trend_analysis': True, 'use_brand_lock': True}",true,true,false,false,trend,platform,price,line,low
competitor_analysis,"Phân tích đối thủ","Dùng intent này khi người dùng muốn so sánh sản phẩm A với các sản phẩm cùng category khác brand.","brand_share","['A']","['platforms','competitor_brands','metric','use_brand_lock']","{'competitor_brands': [], 'metric': 'revenue_est', 'use_brand_lock': False}",true,true,true,false,comparison,brand,revenue_est,radar,medium
market_concentration,"Độ tập trung thị trường","Dùng intent này khi người dùng muốn biết thị trường có tập trung vào vài seller lớn hay phân tán, tính HHI index.","top_sellers","['A']","['platforms','hhi_index','top_n','use_brand_lock']","{'hhi_index': True, 'top_n': 10, 'use_brand_lock': True}",true,true,false,false,metric,platform,hhi_index,heatmap,low
product_analysis,"Phân tích toàn diện sản phẩm","Dùng intent này khi người dùng hỏi chung chung về phân tích sản phẩm: 'Phân tích sản phẩm A', 'Đánh giá chi tiết sản phẩm A', 'Tổng quan sản phẩm A', bao gồm tổng hợp giá, doanh số, rating, thị phần.","get_product_analysis","['A']","['platforms','min_reviews','include_price','include_sales','include_rating','include_market_share','use_brand_lock']","{'min_reviews': 0, 'include_price': True, 'include_sales': True, 'include_rating': True, 'include_market_share': True, 'use_brand_lock': True}",true,true,false,false,comprehensive_report,platform,multiple,multi_panel,high
price_benchmark,"So sánh giá chuẩn","Dùng intent này khi người dùng muốn so sánh giá của sản phẩm A với mức giá trung bình/thông thường trong category, hoặc với các brand khác trong cùng phân khúc.","price_range_by_category","['A']","['platforms','benchmark_only','compare_with','min_reviews','use_brand_lock']","{'benchmark_only': True, 'compare_with': 'category_average', 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,true,comparison,category,price,benchmark-chart,medium
sales_trend,"Xu hướng bán hàng","Dùng intent này khi người dùng muốn biết xu hướng doanh số bán hàng theo thời gian (nếu có dữ liệu lịch sử), tốc độ tăng trưởng, mùa vụ bán hàng.","sold_distribution","['A']","['platforms','time_period','trend_type','min_reviews','use_brand_lock']","{'time_period': '30d', 'trend_type': 'growth_rate', 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,trend,platform,sold,line,medium
rating_vs_price,"Tương quan rating và giá","Dùng intent này khi người dùng muốn phân tích mối quan hệ giữa chất lượng (rating) và mức giá, xem sản phẩm có đắt/xắt ra miếng không.","rating_distribution","['A']","['platforms','correlation_analysis','price_buckets','min_reviews','use_brand_lock']","{'correlation_analysis': True, 'price_buckets': 5, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,correlation,"price_bucket",rating,scatter,medium
seller_reliability,"Độ tin cậy seller","Dùng intent này khi người dùng muốn đánh giá độ tin cậy của seller dựa trên rating trung bình, tỷ lệ phản hồi, thời gian hoạt động.","top_sellers","['A']","['platforms','reliability_metrics','min_rating','min_reviews','use_brand_lock']","{'reliability_metrics': True, 'min_rating': 4.0, 'min_reviews': 10, 'use_brand_lock': True}",true,true,false,false,ranking,seller,reliability_score,radar,low
market_gap_analysis,"Phân tích khoảng trống thị trường","Dùng intent này khi người dùng muốn tìm khoảng trống thị trường: phân khúc giá chưa có sản phẩm, nhu cầu chưa được đáp ứng, cơ hội kinh doanh.","brand_share","['A']","['platforms','gap_analysis','price_segments','demand_indicators','min_reviews']","{'gap_analysis': True, 'price_segments': 5, 'demand_indicators': ['search_volume', 'competition_low'], 'min_reviews': 0}",true,true,false,false,analysis,price_segment,opportunity_score,heatmap,low
platform_comparison,"So sánh hiệu suất theo sàn","Dùng intent này khi người dùng muốn so sánh hiệu suất bán hàng của cùng sản phẩm trên các sàn TMĐT khác nhau.","roi_table_for_A","['A']","['platforms','compare_metrics','include_all_platforms','min_reviews','use_brand_lock']","{'compare_metrics': ['price', 'sold', 'rating', 'roi'], 'include_all_platforms': True, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,comparison,platform,multiple,radar,high
seasonality_analysis,"Phân tích tính thời vụ","Dùng intent này khi người dùng muốn phân tích tính thời vụ của sản phẩm: mùa cao điểm, mùa thấp điểm, xu hướng theo tháng.","sold_distribution","['A']","['platforms','time_range','seasonality_metrics','min_reviews','use_brand_lock']","{'time_range': '12 months', 'seasonality_metrics': True, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,seasonal,month,sold,seasonal-chart,low
product_health_score,"Điểm số sức khỏe sản phẩm","Dùng intent này khi người dùng muốn đánh giá tổng thể sức khỏe sản phẩm qua điểm số tổng hợp (composite score) dựa trên giá, doanh số, rating, cạnh tranh.","get_product_analysis","['A']","['platforms','health_metrics','weighting','min_reviews','use_brand_lock']","{'health_metrics': True, 'weighting': {'price': 0.3, 'sales': 0.4, 'rating': 0.2, 'competition': 0.1}, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,score,overall,health_score,gauge,medium